OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,LOCALGOVERNMENTAREA_LGA,ADDRESS,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
139,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,139,Tumbarumba Shire Council,Operational,Tumbarumba (A),Corner Bridge Street and Winton Street,Tumbarumba,New South Wales,5,20141210,,-35.777576,148.011841
140,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,140,Tumut Shire Council,Operational,Tumut Shire (A),76 Capper Street,Tumut,New South Wales,5,20141210,,-35.301363,148.21994
141,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,141,Tweed Shire Council - Murwillumbah Office,Operational,Tweed (A),10-14 Tumbulgum Road,Murwillumbah,New South Wales,3,20141210,,-28.326726,153.401212
142,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,142,Tweed Shire Council - Tweed Heads Office,Operational,Tweed (A),Brett Street,Tweed Heads,New South Wales,4,20141210,,-28.177611,153.542584
143,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,143,Upper Hunter Shire Council - Scone Office,Operational,Upper Hunter Shire (A),135 Liverpool Street,Scone,New South Wales,5,20141209,,-32.051419,150.869338
144,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,144,Upper Hunter Shire Council - Merriwa Office,Operational,Upper Hunter Shire (A),34-40 Vennacher Street,Merriwa,New South Wales,5,20141209,,-32.1397699999999,150.355387
145,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,145,Upper Hunter Shire Council - Murrurundi Office,Operational,Upper Hunter Shire (A),47 Mayne Street,Murrurundi,New South Wales,5,20141209,,-31.7651319999999,150.839173
146,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,146,Upper Lachlan Shire Council,Operational,Upper Lachlan Shire (A),44 Spring Street,Crookwell,New South Wales,3,20141209,,-34.457751,149.47122
147,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,147,Uralla Shire Council,Operational,Uralla (A),32 Salisbury Street,Uralla,New South Wales,4,20141209,,-30.6429049999999,151.499312
148,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,148,Urana Shire Council,Operational,Urana (A),30-32 William Street,Urana,New South Wales,5,20141209,,-35.331067,146.268308
149,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,149,Wagga Wagga City Council,Operational,Wagga Wagga (C),Corner Baylis Street and Morrow Street,Wagga Wagga,New South Wales,5,20141209,,-35.109636,147.370801
150,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,150,Wakool Shire Council,Operational,Wakool (A),15 Murray Street,Barham,New South Wales,4,20141209,,-35.6301759999999,144.126619
151,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,151,Walcha Shire Council,Operational,Walcha (A),2 Hamilton Street,Walcha,New South Wales,5,20141209,,-30.983574,151.593298
152,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,152,Walgett Shire Council,Operational,Walgett (A),77 Fox Street,Walgett,New South Wales,5,20141209,,-30.0233309999999,148.116956
153,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,153,Warren Shire Council,Operational,Warren (A),115 Dubbo Street,Warren,New South Wales,3,20141210,,-31.7006499999999,147.836607
154,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,154,Warringah Council,Operational,Warringah (A),725 Pittwater Road,Dee Why,New South Wales,5,20141210,,-33.75127,151.286979
155,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,155,Warrumbungle Shire Council,Operational,Warrumbungle Shire (A),14-22 John Street,Coonabarabran,New South Wales,5,20141210,,-31.275094,149.277619
156,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,156,Waverley Council,Operational,Waverley (A),55 Spring Street,Bondi Junction,New South Wales,3,20141210,,-33.8926769999999,151.247828
157,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,157,Weddin Shire Council,Operational,Weddin (A),Corner Camp Street and Weddin Street,Grenfell,New South Wales,5,20141210,,-33.895394,148.162336
158,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,158,Wellington Council,Operational,Wellington (A),Corner Nanima Crescent and Warne Street,Wellington,New South Wales,5,20141210,,-32.5514059999999,148.940555
159,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,159,Wentworth Shire Council,Operational,Wentworth (A),26-28 Adelaide Street,Wentworth,New South Wales,5,20141210,,-34.108643,141.916877
160,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,160,Willoughby City Council,Operational,Willoughby (C),31 Victor Street,Chatswood,New South Wales,5,20141210,,-33.79754,151.182394
161,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,161,Wingecarribee Shire Council,Operational,Wingecarribee (A),"Civic Centre, Elizabeth Street",Moss Vale,New South Wales,5,20141210,,-34.5504339999999,150.373096
162,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,162,Wollondilly Shire Council,Operational,Wollondilly (A),62-64 Menangle Street,Picton,New South Wales,5,20141210,,-34.170065,150.612844
163,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,163,Wollongong City Council,Operational,Wollongong (C),41 Burelli Street,Wollongong,New South Wales,5,20141210,,-34.427162,150.898766
164,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,164,Woollahra Municipal Council,Operational,Woollahra (A),536 New South Head Road,Double Bay,New South Wales,5,20141210,,-33.872671,151.247664
165,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,165,Wyong Shire Council,Operational,Wyong (A),2 Hely Street,Wyong,New South Wales,5,20141210,,-33.282813,151.42381
166,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,166,Yass Valley Council,Operational,Yass Valley (A),209 Comur Street,Yass,New South Wales,5,20141210,,-34.844918,148.913421
167,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,167,Young Shire Council,Operational,Young (A),189-205 Boorowa Street,Young,New South Wales,5,20141210,,-34.31244,148.294548
168,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,168,Alice Springs Council,Operational,Alice Springs (T),93 Todd Street,Alice Springs,Northern Territory,4,20140512,,-23.701805,133.882158
169,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,169,Barkly Regional Council,Operational,Barkly (R),41 Peko Road,Tennant Creek,Northern Territory,5,20141213,,-19.646419,134.196266
170,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,170,West Arnhem Regional Council - Darwin,Operational,Belyuen (S),Terminal One Building  396 Stuart Highway,Winnellie,Northern Territory,4,20141213,,-12.425789,130.872048
171,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,171,Central Desert Shire Council - Alice Springs,Operational,Central Desert (R),1 Bagot Street,Gillen,Northern Territory,4,20141213,,-23.707079,133.879295
172,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,172,Palmerston City Council,Operational,Palmerston (C),2 Chung Wah Terrace,Palmerston,Northern Territory,2,20141213,,-12.478447,130.982118
173,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,173,Coomalie Community Government Council,Operational,Coomalie (S),141 Cameron Road,Batchelor,Northern Territory,2,20141213,,-13.051932,131.034305
174,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,174,Darwin City Council,Operational,Darwin (C),17 Harry Chan Avenue,Darwin,Northern Territory,3,20141213,,-12.464354,130.845574
175,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,175,East Arnhem Regional Council,Operational,East Arnhem (R),Corner Chesterfield Circuit and Franklyn Street,Nhulunbuy,Northern Territory,2,20141213,,-12.1839489999999,136.786419
176,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,176,Katherine Town Council,Operational,Katherine (T),1865 Stuart Highway,Katherine,Northern Territory,1,20141213,,-14.4662099999999,132.263752
177,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,177,Litchfield Council,Operational,Litchfield (M),7 Bees Creek Road,Freds Pass,Northern Territory,2,20141213,,-12.5398989999999,131.056481
178,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,178,MacDonnell Regional Council - Alice Springs,Operational,MacDonnell (R),Corner Bagot Street and South Terrace,Alice Springs,Northern Territory,4,20141213,,-23.707079,133.879295
179,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,179,Roper Gulf Regional Council - Katherine,Operational,Roper Gulf (R),29 Crawford Street,Katherine,Northern Territory,3,20141213,,-14.4767659999999,132.287367
180,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,180,Tiwi Islands Regional Council,Operational,Tiwi Islands (R),116-120 Coonawarra Road,Winnellie,Northern Territory,1,20141213,,-11.7591619999999,130.636243
181,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,181,Victoria Daly Council - Katherine,Operational,Victoria Daly (R),14 Katherine Terrace,Katherine,Northern Territory,2,20141213,,-14.466506,132.264178
182,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,182,Wagait Shire Council,Operational,Wagait (S),142 Wagait Tower Road,Wagait Beach,Northern Territory,3,20141215,,-12.435260533,130.748354261
183,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,183,West Arnhem Regional Council,Operational,West Arnhem (R),13 Tasman Crescent,Jabiru,Northern Territory,4,20141203,,-12.6722329999999,132.832778
184,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,184,Aurukun Shire Council,Operational,Aurukun (S),39 Kang Kang Road,Aurukun,Queensland,3,20141216,,-13.358977,141.728286
185,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,185,Balonne Shire Council,Operational,Balonne (S),Carnarvon Highway,St George,Queensland,5,20141202,,-28.03687,148.580629
186,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,186,Banana Shire Council - Biloela Office,Operational,Banana (S),62 Valentine Plains Road,Biloela,Queensland,3,20141216,,-24.410835,150.520745
187,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,187,Banana Shire Council - Moura Office,Operational,Banana (S),Gillespie Street,Moura,Queensland,1,20141216,,-24.567671,149.975286
188,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,188,Banana Shire Council - Taroom Office,Operational,Banana (S),Yaldwyn Street,Taroom,Queensland,1,20141216,,-25.641714,149.794177
189,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,189,Barcaldine Regional Council,Operational,Barcaldine (R),71 Ash Street,Barcaldine,Queensland,3,20141217,,-23.553935,145.289432
190,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,190,Barcoo Shire Council,Operational,Barcoo (S),6 Perkins Street,Jundah,Queensland,3,20141217,,-24.833432,143.058896
191,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,191,Blackall-Tambo Regional Council,Operational,Blackall-Tambo (R),6 Coronation Drive,Blackall,Queensland,3,20141217,,-24.4225539999999,145.463453
192,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,192,Boulia Shire Council,Operational,Boulia (S),1 Herbert Street,Boulia,Queensland,1,20141217,,-22.909101,139.906617
193,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,193,Brisbane City Council,Operational,Brisbane (C),266 George Street,Brisbane,Queensland,5,20141217,,-27.4706879999999,153.022586
194,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,194,Bulloo Shire Council,Operational,Bulloo (S),53 Dowling Street,Thargomindah,Queensland,1,20141219,,-27.9967809999999,143.82161
195,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,195,Bundaberg Regional Council,Operational,Bundaberg (R),190 Bourbong Street,Bundaberg,Queensland,5,20141219,,-24.866664,152.34791
196,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,196,Burdekin Shire Council,Operational,Burdekin (S),145 Young Street,Ayr,Queensland,5,20141219,,-19.577257,147.4062
197,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,197,Burke Shire Council,Operational,Burke (S),LOT 65 Musgrave Street,Burketown,Queensland,3,20141219,,-17.7412249999999,139.546869
198,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,198,Cairns Regional Council,Operational,Cairns (R),119-145 Spence Street,Cairns,Queensland,5,20141219,,-16.930263,145.77018
199,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,199,Carpentaria Shire Council,Operational,Carpentaria (S),LOT 33 Haig Street,Normanton,Queensland,5,20141219,,-17.6686609999999,141.080115
200,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,200,Cassowary Coast Regional Council - Innisfail Office,Operational,Cassowary Coast (R),70 Rankin Street,Innisfail,Queensland,3,20141219,,-17.5230579999999,146.030154
201,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,201,Cassowary Coast Regional Council - Tully Office,Operational,Cassowary Coast (R),38-40 Bryant Street,Tully,Queensland,5,20141219,,-17.935444,145.923246
202,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,202,Central Highlands Regional Council - Emerald Office,Operational,Central Highlands (R),Corner Egerton Street and Borilla Street,Emerald,Queensland,5,20141219,,-23.525316,148.161439
203,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,203,Central Highlands Regional Council - Blackwater Office,Operational,Central Highlands (R),10 Mackenzie Street,Blackwater,Queensland,3,20141219,,-23.58372,148.879373
204,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,204,Central Highlands Regional Council - Capella Office,Operational,Central Highlands (R),4 Conran Street,Capella,Queensland,3,20141219,,-23.086383,148.023922
205,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,205,Central Highlands Regional Council - Duaringa Office,Operational,Central Highlands (R),12 William Street,Duaringa,Queensland,3,20141219,,-23.717931,149.671146
206,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,206,Central Highlands Regional Council - Springsure Office,Operational,Central Highlands (R),29 Eclipse Street,Springsure,Queensland,3,20141219,,-24.1143259999999,148.088372
207,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,207,Charters Towers Regional Council,Operational,Charters Towers (R),12 Mosman Street,Lissner,Queensland,5,20141219,,-20.072596,146.257941
208,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,208,Cherbourg Aboriginal Shire Council,Operational,Cherbourg (S),22 Barambah Avenue,Cherbourg,Queensland,3,20141219,,-26.2903929999999,151.95604
209,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,209,Cloncurry Shire Council,Operational,Cloncurry (S),19 Scarr Street,Cloncurry,Queensland,5,20141219,,-20.70537,140.508616
210,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,210,Cook Shire Council,Operational,Cook (S),10 Furneaux Street,Cooktown,Queensland,5,20141219,,-15.4696759999999,145.251761
211,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,211,Croydon Shire Council,Operational,Croydon (S),63 Samwell Street,Croydon,Queensland,3,20141219,,-18.203518,142.243739
212,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,212,Diamantina Shire Council,Operational,Diamantina (S),17 Herbert Street,Bedourie,Queensland,2,20150206,,-24.360151,139.4709
213,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,213,Doomadgee Aboriginal Shire Council,Operational,Doomadgee (S),275 Sharpe Street,Doomadgee,Queensland,2,20150206,,-17.9421209999999,138.826007
214,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,214,Douglas Shire Council,Operational,Douglas (S),64-66 Front Street,Mossman,Queensland,3,20150206,,-16.465773,145.373123
215,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,215,Etheridge Shire Council,Operational,Etheridge (S),St. George Street,Georgetown,Queensland,2,20150206,,-18.2896909999999,143.549614
216,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,216,Flinders Shire Council,Operational,Flinders (S),34 Gray Street,Hughenden,Queensland,3,20150206,,-20.842192,144.200719
217,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,217,Fraser Coast Regional Council,Operational,Fraser Coast (R),77 Tavistock Street,Torquay,Queensland,5,20150206,,-25.294385,152.863224
218,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,218,Gladstone Regional Council,Operational,Gladstone (R),101 Goondoon Street,Gladstone,Queensland,5,20150206,,-23.84311,151.255432
219,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,219,Gold Coast City Council,Operational,Gold Coast (C),135 Bundall Road,Bundall,Queensland,5,20150206,,-28.00193,153.415402
220,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,220,Goondiwindi Regional Council,Operational,Goondiwindi (R),82 Marshall Street,Goondiwindi,Queensland,5,20150206,,-28.5470379999999,150.306227
221,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,221,Gympie Regional Council,Operational,Gympie (R),242 Mary Street,Gympie,Queensland,5,20150206,,-26.1886019999999,152.658565
222,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,222,Hinchinbrook Shire Council,Operational,Hinchinbrook (S),25 Lannercost Street,Ingham,Queensland,5,20150206,,-18.650799,146.154232
223,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,223,Hope Vale Aboriginal Shire Council,Operational,Hope Vale (S),Muni Street,Hope Vale,Queensland,3,20150206,,-15.29374,145.109861
224,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,224,Ipswich City Council,Operational,Ipswich (C),143 Brisbane Street,Ipswich,Queensland,5,20150206,,-27.6140149999999,152.758732
225,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,225,Isaac Regional Council - Clermont Office,Operational,Isaac (R),Corner Karmoo Street and Daintree Street,Clermont,Queensland,5,20150206,,-22.825253,147.642181
226,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,226,Isaac Regional Council - Dysart Office,Operational,Isaac (R),Shannon Crescent,Dysart,Queensland,2,20150206,,-22.5882849999999,148.351266
227,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,227,Isaac Regional Council - Glenden Office,Operational,Isaac (R),Ewan Drive,Glenden,Queensland,2,20150206,,-21.358355,148.115127
228,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,228,Isaac Regional Council - Middlemount Office,Operational,Isaac (R),Shopping Centre,Middlemount,Queensland,1,20150206,,-22.809638,148.699344
229,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,229,Isaac Regional Council - Moranbah Office,Operational,Isaac (R),"Grosvenor Complex, Batchelor Parade",Moranbah,Queensland,2,20150206,,-22.000124,148.047899
230,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,230,Isaac Regional Council - Nebo Office,Operational,Isaac (R),10 Reynolds Street,Nebo,Queensland,3,20150206,,-21.6890549999999,148.689296
231,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,231,Isaac Regional Council - St Lawrence Office,Operational,Isaac (R),36 Macartney Street,St Lawrence,Queensland,3,20150206,,-22.345943,149.536409
232,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,232,Kowanyama Aboriginal Shire Council,Operational,Kowanyama (S),,Kowanyama,Queensland,1,20150206,,-15.472478,141.746062
233,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,233,Livingstone Shire Council,Operational,Livingstone (S),25 Normanby Street,Yeppoon,Queensland,5,20150206,,-23.127983,150.746582
234,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,234,Lockhart River Aboriginal Shire Council,Operational,Lockhart River (S),7 Anderson Street,Manunda,Queensland,5,20150206,,-16.9135959999999,145.75413
235,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,235,Lockyer Valley Regional Council,Operational,Lockyer Valley (R),26 Railway Street,Gatton,Queensland,5,20150206,,-27.557445,152.276934
236,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,236,Logan City Council,Operational,Logan (C),150 Wembley Road,Logan Central,Queensland,5,20150206,,-27.642614,153.104037
237,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,237,Longreach Regional Council,Operational,Longreach (R),96A Eagle Street,Longreach,Queensland,4,20150206,,-23.440821,144.250565
238,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,238,Mackay Regional Council,Operational,Mackay (R),73 Gordon Street,Mackay,Queensland,5,20150206,,-21.143456,149.181038
239,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,239,Mapoon Aboriginal Shire Council,Operational,Mapoon (S),Red Beach Road,Mapoon,Queensland,1,20150206,,-12.019823,141.904728
240,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,240,Maranoa Regional Council,Operational,Maranoa (R),Bungil Street,Roma,Queensland,3,20150206,,-26.568981,148.787937
241,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,241,Mareeba Shire Council,Operational,Mareeba (S),65 Rankin Street,Mareeba,Queensland,5,20150206,,-16.9968749999999,145.424736
242,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,242,McKinlay Shire Council,Operational,McKinlay (S),29 Burke Street,Julia Creek,Queensland,4,20150206,,-20.6568579999999,141.745983
243,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,243,Moreton Bay Regional Council,Operational,Moreton Bay (R),2 Hasking Street,Caboolture,Queensland,4,20150206,,-27.0836889999999,152.951518
244,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,244,Mornington Shire Council,Operational,Mornington (S),Mission Road,Gununa,Queensland,1,20150206,,-16.66579,139.181322
245,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,245,Mount Isa City Council,Operational,Mount Isa (C),23 West Street,Mount Isa,Queensland,5,20150206,,-20.725946,139.490077
246,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,246,Murweh Shire Council,Operational,Murweh (S),95-101 Alfred Street,Charleville,Queensland,2,20150206,,-26.40012,146.239253
247,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,247,Napranum Aboriginal Shire Council,Operational,Napranum (S),Moun-Ding Street,Napranum,Queensland,1,20150206,,-12.684542,141.889323
248,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,248,Noosa Shire Council,Operational,Noosa (S),9 Pelican Street,Tewantin,Queensland,5,20150206,,-26.392255,153.040768
249,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,249,North Burnett Regional Council,Operational,North Burnett (R),34-36 Capper Street,Gayndah,Queensland,4,20150206,,-25.625772,151.610333
250,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,250,Northern Peninsula Area Regional Council,Operational,Northern Peninsula Area (R),180 Adidi Street,Bamaga,Queensland,3,20150206,,-10.8875689999999,142.388248
251,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,251,Palm Island Aboriginal Shire Council,Operational,Palm Island (S),1 Main Street,Palm Island,Queensland,3,20150206,,-18.734116,146.577781
252,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,252,Paroo Shire Council,Operational,Paroo (S),49 Stockyard Street,Cunnamulla,Queensland,5,20150206,,-28.070084,145.682096
253,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,253,Pormpuraaw Aboriginal Shire Council,Operational,Pormpuraaw (S),24 Thinraathin Street,Pormpuraaw,Queensland,1,20150206,,-14.8998819999999,141.619235
254,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,254,Quilpie Shire Council,Operational,Quilpie (S),48-50 Brolga Street,Quilpie,Queensland,5,20150206,,-26.6139459999999,144.268136
255,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,255,Redland City Council,Operational,Redland (C),Corner Bloomfield Street and Middle Street,Cleveland,Queensland,5,20150206,,-27.5262289999999,153.266838
256,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,256,Richmond Shire Council,Operational,Richmond (S),50 Goldring Street,Richmond,Queensland,5,20150206,,-20.729168,143.141127
257,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,257,Rockhampton Regional Council,Operational,Rockhampton (R),232 Bolsover Street,Rockhampton,Queensland,5,20150206,,-23.3820259999999,150.513949
258,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,258,Scenic Rim Regional Council,Operational,Scenic Rim (R),82 Brisbane Street,Beaudesert,Queensland,5,20150206,,-27.987254,152.995476
259,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,259,Somerset Regional Council,Operational,Somerset (R),2 Redbank Street,Esk,Queensland,5,20150206,,-27.2407729999999,152.42195
260,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,260,South Burnett Regional Council,Operational,South Burnett (R),41 Glendon Street,Kingaroy,Queensland,5,20150206,,-26.540003,151.837404
261,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,261,Southern Downs Regional Council,Operational,Southern Downs (R),64 Fitzroy Street,Warwick,Queensland,5,20150206,,-28.2145849999999,152.034733
262,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,262,Sunshine Coast Regional Council - Caloundra Office,Operational,Sunshine Coast (R),1 Omrah Avenue,Caloundra,Queensland,5,20150206,,-26.803325,153.130806
263,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,263,Sunshine Coast Regional Council - Maroochy on First Office,Operational,Sunshine Coast (R),10 First Avenue,Maroochydore,Queensland,5,20150206,,-26.654776,153.093035
264,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,264,Sunshine Coast Regional Council - Nambour Office,Operational,Sunshine Coast (R),Corner Currie Street and Bury Street,Nambour,Queensland,5,20150206,,-26.6281549999999,152.958989
265,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,265,Tablelands Regional Council,Operational,Tablelands (R),45 Mabel Street,Atherton,Queensland,5,20150206,,-17.267241,145.476187
266,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,266,Toowoomba Regional Council,Operational,Toowoomba (R),4 Little Street,Toowoomba,Queensland,5,20150206,,-27.5633139999999,151.95191
267,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,267,Torres Shire Council,Operational,Torres (S),68 Douglas Street,Thursday Island,Queensland,3,20150206,,-10.5836689999999,142.219715
268,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,268,Torres Strait Island Regional Council - Cairns Office,Operational,Torres Strait Island (R),111 Grafton Street,Cairns,Queensland,3,20150206,,-16.922806,145.774498
269,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,269,Torres Strait Island Regional Council - Thursday Island Office,Operational,Torres Strait Island (R),46 Victoria Parade,Thursday Island,Queensland,3,20150206,,-10.585163,142.215866
270,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,270,Townsville City Council,Operational,Townsville (C),103 Walker Street,Townsville,Queensland,5,20150206,,-19.258326,146.814668
271,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,271,Western Downs Regional Council,Operational,Western Downs (R),80-86 Heeney Street,Chinchilla,Queensland,3,20150206,,-26.7406129999999,150.624459
272,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,272,Whitsunday Regional Council,Operational,Whitsunday (R),83 Main Street,Proserpine,Queensland,5,20150206,,-20.40171,148.584684
273,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,273,Bowen Shire Council,Operational,Whitsunday (R),67 Herbert Street,Bowen,Queensland,3,20150206,,-20.012422,148.246299
274,Council Office,A facility where a Local Government’s main council operations are regularly performed,Council Office,274,Winton Shire Council,Operational,Winton (S),75 Vindex Street,Winton,Queensland,5,20150206,,-22.3875199999999,143.037715
